NFR,Sector,Table,Type,Technology,Fuel,Abatement,Region,Pollutant,Value,Unit,CI_lower,CI_upper,Reference
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_59,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Small -Euro 5,NA,CO,0.035,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_69,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Medium -Euro 6 a/b/c,NA,CO2 lube,0.398,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_57,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Small -Euro 3,NA,CO2 lube,0.464,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_55,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Small -Euro 1,NA,N2O,0.003,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_59,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Small -Euro 5,NA,NOx,0.562,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_54,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Small -Conventional,NA,NOx,0.567,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_54,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Small -Conventional,NA,N2O,0,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_54,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Small -Conventional,NA,NH3,0.001,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_54,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Small -Conventional,NA,Pb,6.2E-05,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_54,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Small -Conventional,NA,CO2,194.469,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_54,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Small -Conventional,NA,CO2 lube,0.663,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_55,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Small -Euro 1,NA,CO,0.415,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_56,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Small -Euro 2,NA,CO2,178.119,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_55,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Small -Euro 1,NA,NOx,0.697,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_56,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Small -Euro 2,NA,Pb,6.2E-05,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_55,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Small -Euro 1,NA,NH3,0.001,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_55,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Small -Euro 1,NA,Pb,6.2E-05,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_55,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Small -Euro 1,NA,CO2,171.494,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_55,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Small -Euro 1,NA,CO2 lube,0.596,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_56,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Small -Euro 2,NA,CO,0.295,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_56,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Small -Euro 2,NA,NMVOC,0.04,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_56,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Small -Euro 2,NA,NOx,0.729,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_56,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Small -Euro 2,NA,N2O,0.005,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_54,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Small -Conventional,NA,CO,0.667,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_55,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Small -Euro 1,NA,NMVOC,0.057,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_84,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 3,NA,NH3,0.032,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_85,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 4,NA,Pb,7.4E-05,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_83,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 2,NA,N2O,0.009,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_83,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 2,NA,NH3,0.109,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_83,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 2,NA,Pb,7.4E-05,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_83,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 2,NA,CO2,175.449,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_83,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 2,NA,CO2 lube,0.53,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_84,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 3,NA,CO,2.859,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_84,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 3,NA,NMVOC,0.19,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_83,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 2,NA,NMVOC,0.355,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_84,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 3,NA,N2O,0.004,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_83,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 2,NA,CO,3.981,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_84,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 3,NA,Pb,7.4E-05,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_84,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 3,NA,CO2,175.449,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_84,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 3,NA,CO2 lube,0.464,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_85,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 4,NA,CO,0.94,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_85,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 4,NA,NMVOC,0.1,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_85,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 4,NA,NOx,0.064,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_85,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 4,NA,N2O,0.004,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_69,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Medium -Euro 6 a/b/c,NA,Pb,7.4E-05,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_84,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 3,NA,NOx,0.109,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_81,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Conventional,NA,CO2 lube,0.663,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_80,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Euro 6 d,NA,Pb,8.66E-05,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_80,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Euro 6 d,NA,CO2,231.113,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_80,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Euro 6 d,NA,CO2 lube,0.398,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_81,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Conventional,NA,CO,7.998,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_81,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Conventional,NA,NMVOC,1.151,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_81,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Conventional,NA,NOx,2.466,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_81,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Conventional,NA,N2O,0,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_81,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Conventional,NA,NH3,0.002,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_83,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 2,NA,NOx,0.213,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_81,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Conventional,NA,CO2,179.081,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_85,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 4,NA,CO2,175.449,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_82,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 1,NA,CO,5.658,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_82,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 1,NA,NMVOC,0.741,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_82,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 1,NA,NOx,0.458,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_82,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 1,NA,N2O,0.019,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_82,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 1,NA,NH3,0.089,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_82,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 1,NA,Pb,7.4E-05,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_82,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 1,NA,CO2,175.449,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_82,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 1,NA,CO2 lube,0.596,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_81,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Conventional,NA,Pb,7.4E-05,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_89,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 6 d,NA,CO2,175.396,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_85,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 4,NA,NH3,0.032,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_88,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 6 d-temp,NA,Pb,7.4E-05,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_88,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 6 d-temp,NA,CO2,175.401,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_88,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 6 d-temp,NA,CO2 lube,0.398,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_89,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 6 d,NA,CO,0.191,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_89,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 6 d,NA,NMVOC,0.002,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_89,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 6 d,NA,NOx,0.02,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_89,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 6 d,NA,N2O,0.001,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_88,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 6 d-temp,NA,N2O,0.001,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_89,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 6 d,NA,Pb,7.4E-05,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_88,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 6 d-temp,NA,NOx,0.02,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_89,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 6 d,NA,CO2 lube,0.398,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_90,Tier 2 Emission Factor,Passenger Cars,Hybrid Petrol,Hybrid Petrol Small -Euro 4,NA,CO,0.745,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_90,Tier 2 Emission Factor,Passenger Cars,Hybrid Petrol,Hybrid Petrol Small -Euro 4,NA,NMVOC,0.239,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_90,Tier 2 Emission Factor,Passenger Cars,Hybrid Petrol,Hybrid Petrol Small -Euro 4,NA,NOx,0.037,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_90,Tier 2 Emission Factor,Passenger Cars,Hybrid Petrol,Hybrid Petrol Small -Euro 4,NA,N2O,0.002,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_90,Tier 2 Emission Factor,Passenger Cars,Hybrid Petrol,Hybrid Petrol Small -Euro 4,NA,NH3,0.031,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_90,Tier 2 Emission Factor,Passenger Cars,Hybrid Petrol,Hybrid Petrol Small -Euro 4,NA,Pb,4.98E-05,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_90,Tier 2 Emission Factor,Passenger Cars,Hybrid Petrol,Hybrid Petrol Small -Euro 4,NA,CO2,129.433,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_89,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 6 d,NA,NH3,0.013,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_87,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 6 a/b/c,NA,NMVOC,0.002,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_85,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 4,NA,CO2 lube,0.398,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_86,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 5,NA,CO,0.94,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_86,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 5,NA,NMVOC,0.1,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_86,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 5,NA,NOx,0.054,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_86,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 5,NA,N2O,0.001,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_86,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 5,NA,NH3,0.015,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_86,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 5,NA,Pb,7.4E-05,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_86,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 5,NA,CO2,175.438,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_88,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 6 d-temp,NA,NH3,0.013,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_87,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 6 a/b/c,NA,CO,0.191,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_80,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Euro 6 d,NA,NOx,0.074,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_87,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 6 a/b/c,NA,NOx,0.02,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_87,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 6 a/b/c,NA,N2O,0.001,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_87,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 6 a/b/c,NA,NH3,0.014,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_87,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 6 a/b/c,NA,Pb,7.4E-05,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_87,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 6 a/b/c,NA,CO2,175.412,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_87,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 6 a/b/c,NA,CO2 lube,0.398,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_88,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 6 d-temp,NA,CO,0.191,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_88,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 6 d-temp,NA,NMVOC,0.002,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_86,Tier 2 Emission Factor,Passenger Cars,LPG,LPG Bifuel -Euro 5,NA,CO2 lube,0.398,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_73,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Euro 1,NA,CO2 lube,0.596,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_80,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Euro 6 d,NA,NH3,0.007,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_72,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Conventional,NA,CO2,194.469,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_72,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Conventional,NA,CO2 lube,0.663,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_73,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Euro 1,NA,CO,0.415,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_73,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Euro 1,NA,NMVOC,0.085,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_73,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Euro 1,NA,NOx,0.697,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_73,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Euro 1,NA,N2O,0.003,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_73,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Euro 1,NA,NH3,0.001,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_72,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Conventional,NA,NH3,0.001,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_73,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Euro 1,NA,CO2,231.178,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_72,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Conventional,NA,N2O,0,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_74,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Euro 2,NA,CO,0.295,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_74,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Euro 2,NA,NMVOC,0.119,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_74,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Euro 2,NA,NOx,0.729,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_74,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Euro 2,NA,N2O,0.005,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_74,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Euro 2,NA,NH3,0.001,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_74,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Euro 2,NA,Pb,8.66E-05,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_74,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Euro 2,NA,CO2,231.178,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_74,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Euro 2,NA,CO2 lube,0.53,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_73,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Euro 1,NA,Pb,8.66E-05,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_71,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Medium -Euro 6 d,NA,NOx,0.074,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_70,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Medium -Euro 6 d-temp,NA,CO,0.041,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_70,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Medium -Euro 6 d-temp,NA,NMVOC,0.001,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_70,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Medium -Euro 6 d-temp,NA,NOx,0.086,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_70,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Medium -Euro 6 d-temp,NA,N2O,0.006,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_70,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Medium -Euro 6 d-temp,NA,NH3,0.007,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_70,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Medium -Euro 6 d-temp,NA,Pb,7.4E-05,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_70,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Medium -Euro 6 d-temp,NA,CO2,168.68,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_70,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Medium -Euro 6 d-temp,NA,CO2 lube,0.398,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_72,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Conventional,NA,Pb,8.66E-05,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_71,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Medium -Euro 6 d,NA,NMVOC,0.001,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_75,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Euro 3,NA,NOx,0.786,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_71,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Medium -Euro 6 d,NA,N2O,0.006,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_71,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Medium -Euro 6 d,NA,NH3,0.007,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_71,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Medium -Euro 6 d,NA,Pb,7.4E-05,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_71,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Medium -Euro 6 d,NA,CO2,168.673,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_71,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Medium -Euro 6 d,NA,CO2 lube,0.398,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_72,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Conventional,NA,CO,0.667,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_72,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Conventional,NA,NMVOC,0.18,g/km,,,
1.A.3.b.i,"Road transport, passenger cars",Table_3-17_72,Tier 2 Emission Factor,Passenger Cars,Diesel,Diesel Large-SUV-Executive -Conventional,NA,NOx,0.905,g/km,,,
