estate,source_system_qualified_name,source_system_name,target_system_qualified_name,target_system_name,interaction_id,supply_chain_qualified_name,supply_chain_id,wire_label,data_exchanged,description,component1,component2
Coco core,System::procurement01,Coco Pharmaceuticals Procurement,System::EDDEPOT01,Edmonton Depot Management System,,InformationSupplyChain::Third Party Onboarding and Payment Information Supply Chain,Third-Party-Onboarding-Payment,approved supplier,"supplier identity, approval and risk status","Receipt from an unapproved supplier is refused here rather than discovered later, which is what makes the onboarding chain worth having.",SupplierMasterRegister,GoodsReceiptAndInspection
Coco core,System::procurement01,Coco Pharmaceuticals Procurement,System::aus-inventory,Austin Inventory,,InformationSupplyChain::Physical Inventory Tracking Information Supply Chain,Physical-Inventory-Tracking,approved supplier,"supplier identity, approval and risk status","Receipt from an unapproved supplier is refused here rather than discovered later, which is what makes the onboarding chain worth having.",SupplierMasterRegister,GoodsReceiptAndInspection
Coco core,System::procurement01,Coco Pharmaceuticals Procurement,System::aus-inventory,Austin Inventory,,InformationSupplyChain::Third Party Onboarding and Payment Information Supply Chain,Third-Party-Onboarding-Payment,approved supplier,"supplier identity, approval and risk status","Receipt from an unapproved supplier is refused here rather than discovered later, which is what makes the onboarding chain worth having.",SupplierMasterRegister,GoodsReceiptAndInspection
Austin,SoftwareServer::AUS-SYS-043::SN-MDM-AU-20220301,Informatica MDM,SoftwareServer::AUS-SYS-012::SN-WMS-AU-20200315,Manhattan WMS,INT-AUS-028,InformationSupplyChain::Physical Inventory Tracking Information Supply Chain,Physical-Inventory-Tracking,approved supplier,"supplier identity, approval and risk status","Receipt from an unapproved supplier is refused here rather than discovered later, which is what makes the onboarding chain worth having.",SupplierMasterRegister,GoodsReceiptAndInspection
Austin,SoftwareServer::AUS-SYS-043::SN-MDM-AU-20220301,Informatica MDM,SoftwareServer::AUS-SYS-012::SN-WMS-AU-20200315,Manhattan WMS,INT-AUS-028,InformationSupplyChain::Third Party Onboarding and Payment Information Supply Chain,Third-Party-Onboarding-Payment,approved supplier,"supplier identity, approval and risk status","Receipt from an unapproved supplier is refused here rather than discovered later, which is what makes the onboarding chain worth having.",SupplierMasterRegister,GoodsReceiptAndInspection
Bucharest,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,SoftwareServer::SYS-019::Warehouse Management System (WMS),Warehouse Management System (WMS),INT-018,InformationSupplyChain::Physical Inventory Tracking Information Supply Chain,Physical-Inventory-Tracking,approved supplier,"supplier identity, approval and risk status","Receipt from an unapproved supplier is refused here rather than discovered later, which is what makes the onboarding chain worth having.",SupplierMasterRegister,GoodsReceiptAndInspection
Bucharest,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,SoftwareServer::SYS-019::Warehouse Management System (WMS),Warehouse Management System (WMS),INT-018,InformationSupplyChain::Third Party Onboarding and Payment Information Supply Chain,Third-Party-Onboarding-Payment,approved supplier,"supplier identity, approval and risk status","Receipt from an unapproved supplier is refused here rather than discovered later, which is what makes the onboarding chain worth having.",SupplierMasterRegister,GoodsReceiptAndInspection
Austin,SoftwareServer::AUS-SYS-024::SN-LIM-AU-20190820,LabWare Enterprise LIMS,SoftwareServer::AUS-SYS-012::SN-WMS-AU-20200315,Manhattan WMS,,InformationSupplyChain::Physical Inventory Tracking Information Supply Chain,Physical-Inventory-Tracking,certificate of analysis,"supplier test results, conformity declaration","The data originates outside the company, which is why it is verified on receipt rather than trusted on arrival.",SupplierMaterialCertificates,GoodsReceiptAndInspection
Bucharest,SoftwareServer::SYS-024::OpenText ECM,OpenText ECM,SoftwareServer::SYS-019::Warehouse Management System (WMS),Warehouse Management System (WMS),,InformationSupplyChain::Physical Inventory Tracking Information Supply Chain,Physical-Inventory-Tracking,certificate of analysis,"supplier test results, conformity declaration","The data originates outside the company, which is why it is verified on receipt rather than trusted on arrival.",SupplierMaterialCertificates,GoodsReceiptAndInspection
Bucharest,SoftwareServer::SYS-004::LIMS LabWare Enterprise,LIMS LabWare Enterprise,SoftwareServer::SYS-019::Warehouse Management System (WMS),Warehouse Management System (WMS),,InformationSupplyChain::Physical Inventory Tracking Information Supply Chain,Physical-Inventory-Tracking,certificate of analysis,"supplier test results, conformity declaration","The data originates outside the company, which is why it is verified on receipt rather than trusted on arrival.",SupplierMaterialCertificates,GoodsReceiptAndInspection
Austin,SoftwareServer::AUS-SYS-012::SN-WMS-AU-20200315,Manhattan WMS,SoftwareServer::AUS-SYS-009::SN-SAP-AU-20180923,SAP S/4HANA,,InformationSupplyChain::Physical Inventory Tracking Information Supply Chain,Physical-Inventory-Tracking,place in quarantine,"received lot, quantity, storage location","Material is held rather than made available, so the default state of anything new is unusable.",GoodsReceiptAndInspection,MaterialQuarantineControl
Bucharest,SoftwareServer::SYS-019::Warehouse Management System (WMS),Warehouse Management System (WMS),SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,,InformationSupplyChain::Physical Inventory Tracking Information Supply Chain,Physical-Inventory-Tracking,place in quarantine,"received lot, quantity, storage location","Material is held rather than made available, so the default state of anything new is unusable.",GoodsReceiptAndInspection,MaterialQuarantineControl
Austin,SoftwareServer::AUS-SYS-043::SN-MDM-AU-20220301,Informatica MDM,SoftwareServer::AUS-SYS-042::SN-ETL-AU-20200901,Informatica IDMC,INT-AUS-074,InformationSupplyChain::New Drug Product Details Information Supply Chain,New-Drug-Product-Details,publish change,"changed product attributes, effective date","Changes are published rather than made available, so that the estate converges on a known date.",ProductMasterRegister,ProductDataDistribution
Austin,SoftwareServer::AUS-SYS-014::SN-SRM-AU-20190617,SAP Ariba SRM,SoftwareServer::AUS-SYS-009::SN-SAP-AU-20180923,SAP S/4HANA,INT-AUS-069,InformationSupplyChain::Financial Close and External Reporting Information Supply Chain,Financial-Close-External-Reporting,payment postings,"authorised payments, supplier, cost coding",Third party payments post to the ledger and are consolidated into the published figures.,SupplierPaymentProcessing,SubledgerFeeds
Austin,SoftwareServer::AUS-SYS-014::SN-SRM-AU-20190617,SAP Ariba SRM,SoftwareServer::AUS-SYS-009::SN-SAP-AU-20180923,SAP S/4HANA,INT-AUS-069,InformationSupplyChain::Third Party Onboarding and Payment Information Supply Chain,Third-Party-Onboarding-Payment,payment postings,"authorised payments, supplier, cost coding",Third party payments post to the ledger and are consolidated into the published figures.,SupplierPaymentProcessing,SubledgerFeeds
Austin,SoftwareServer::AUS-SYS-011::SN-OMS-AU-20200310,Oracle Order Management,SoftwareServer::AUS-SYS-009::SN-SAP-AU-20180923,SAP S/4HANA,,InformationSupplyChain::Financial Close and External Reporting Information Supply Chain,Financial-Close-External-Reporting,revenue postings,"invoices, revenue recognition data",Treatment revenue enters the ledger from the fulfilment record rather than being agreed with it afterwards.,OrderToInvoice,SubledgerFeeds
Austin,SoftwareServer::AUS-SYS-011::SN-OMS-AU-20200310,Oracle Order Management,SoftwareServer::AUS-SYS-009::SN-SAP-AU-20180923,SAP S/4HANA,,InformationSupplyChain::Personalized Treatment Ordering Information Supply Chain,Personalized-Treatment-Ordering,revenue postings,"invoices, revenue recognition data",Treatment revenue enters the ledger from the fulfilment record rather than being agreed with it afterwards.,OrderToInvoice,SubledgerFeeds
Austin,SoftwareServer::AUS-SYS-021::SN-TNA-AU-20190305,UKG Dimensions,SoftwareServer::AUS-SYS-009::SN-SAP-AU-20180923,SAP S/4HANA,,InformationSupplyChain::Financial Close and External Reporting Information Supply Chain,Financial-Close-External-Reporting,payroll postings,"remuneration, employer costs, by entity",Payroll is one of the larger subledger feeds and one of the few that runs under several national rule sets at once.,PayrollSystem,SubledgerFeeds
Austin,SoftwareServer::AUS-SYS-021::SN-TNA-AU-20190305,UKG Dimensions,SoftwareServer::AUS-SYS-009::SN-SAP-AU-20180923,SAP S/4HANA,,InformationSupplyChain::New Employee Onboarding Information Supply Chain,New-Employee-Onboarding,payroll postings,"remuneration, employer costs, by entity",Payroll is one of the larger subledger feeds and one of the few that runs under several national rule sets at once.,PayrollSystem,SubledgerFeeds
Austin,SoftwareServer::AUS-SYS-019::SN-HCM-AU-20190301,Workday Human Capital Management,SoftwareServer::AUS-SYS-009::SN-SAP-AU-20180923,SAP S/4HANA,INT-AUS-038,InformationSupplyChain::Financial Close and External Reporting Information Supply Chain,Financial-Close-External-Reporting,payroll postings,"remuneration, employer costs, by entity",Payroll is one of the larger subledger feeds and one of the few that runs under several national rule sets at once.,PayrollSystem,SubledgerFeeds
Austin,SoftwareServer::AUS-SYS-019::SN-HCM-AU-20190301,Workday Human Capital Management,SoftwareServer::AUS-SYS-009::SN-SAP-AU-20180923,SAP S/4HANA,INT-AUS-038,InformationSupplyChain::New Employee Onboarding Information Supply Chain,New-Employee-Onboarding,payroll postings,"remuneration, employer costs, by entity",Payroll is one of the larger subledger feeds and one of the few that runs under several national rule sets at once.,PayrollSystem,SubledgerFeeds
Bucharest,SoftwareServer::SYS-023::Kronos Workforce,Kronos Workforce,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,,InformationSupplyChain::Financial Close and External Reporting Information Supply Chain,Financial-Close-External-Reporting,payroll postings,"remuneration, employer costs, by entity",Payroll is one of the larger subledger feeds and one of the few that runs under several national rule sets at once.,PayrollSystem,SubledgerFeeds
Bucharest,SoftwareServer::SYS-023::Kronos Workforce,Kronos Workforce,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,,InformationSupplyChain::New Employee Onboarding Information Supply Chain,New-Employee-Onboarding,payroll postings,"remuneration, employer costs, by entity",Payroll is one of the larger subledger feeds and one of the few that runs under several national rule sets at once.,PayrollSystem,SubledgerFeeds
Bucharest,SoftwareServer::SYS-013::Workday HCM,Workday HCM,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,,InformationSupplyChain::Financial Close and External Reporting Information Supply Chain,Financial-Close-External-Reporting,payroll postings,"remuneration, employer costs, by entity",Payroll is one of the larger subledger feeds and one of the few that runs under several national rule sets at once.,PayrollSystem,SubledgerFeeds
Bucharest,SoftwareServer::SYS-013::Workday HCM,Workday HCM,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,,InformationSupplyChain::New Employee Onboarding Information Supply Chain,New-Employee-Onboarding,payroll postings,"remuneration, employer costs, by entity",Payroll is one of the larger subledger feeds and one of the few that runs under several national rule sets at once.,PayrollSystem,SubledgerFeeds
Austin,SoftwareServer::AUS-SYS-014::SN-SRM-AU-20190617,SAP Ariba SRM,SoftwareServer::AUS-SYS-043::SN-MDM-AU-20220301,Informatica MDM,,InformationSupplyChain::Third Party Onboarding and Payment Information Supply Chain,Third-Party-Onboarding-Payment,create supplier record,"approved supplier, risk rating, screening evidence",This is deliberately the only route to a supplier record: one created outside this flow is one nothing has checked.,ThirdPartyOnboardingWorkflow,SupplierMasterRegister
Coco core,System::procurement01,Coco Pharmaceuticals Procurement,System::coco-ledgers,Coco Ledgers,,InformationSupplyChain::Third Party Onboarding and Payment Information Supply Chain,Third-Party-Onboarding-Payment,supplier and payment details,"screening status, risk rating, bank details","The screening status is read at the moment of authorisation, which is the only moment at which it protects anything.",SupplierMasterRegister,SupplierPaymentProcessing
Austin,SoftwareServer::AUS-SYS-043::SN-MDM-AU-20220301,Informatica MDM,SoftwareServer::AUS-SYS-009::SN-SAP-AU-20180923,SAP S/4HANA,INT-AUS-025,InformationSupplyChain::Third Party Onboarding and Payment Information Supply Chain,Third-Party-Onboarding-Payment,supplier and payment details,"screening status, risk rating, bank details","The screening status is read at the moment of authorisation, which is the only moment at which it protects anything.",SupplierMasterRegister,SupplierPaymentProcessing
Austin,SoftwareServer::AUS-SYS-043::SN-MDM-AU-20220301,Informatica MDM,SoftwareServer::AUS-SYS-014::SN-SRM-AU-20190617,SAP Ariba SRM,INT-AUS-027,InformationSupplyChain::Third Party Onboarding and Payment Information Supply Chain,Third-Party-Onboarding-Payment,supplier and payment details,"screening status, risk rating, bank details","The screening status is read at the moment of authorisation, which is the only moment at which it protects anything.",SupplierMasterRegister,SupplierPaymentProcessing
Austin,SoftwareServer::AUS-SYS-043::SN-MDM-AU-20220301,Informatica MDM,SoftwareServer::AUS-SYS-024::SN-LIM-AU-20190820,LabWare Enterprise LIMS,,InformationSupplyChain::Third Party Onboarding and Payment Information Supply Chain,Third-Party-Onboarding-Payment,supplier documentation,"approved supplier, quality documentation",Quality and commercial views of a supplier are held against the same record.,SupplierMasterRegister,SupplierMaterialCertificates
Austin,SoftwareServer::AUS-SYS-043::SN-MDM-AU-20220301,Informatica MDM,SoftwareServer::AUS-SYS-024::SN-LIM-AU-20190820,LabWare Enterprise LIMS,,InformationSupplyChain::Physical Inventory Tracking Information Supply Chain,Physical-Inventory-Tracking,supplier documentation,"approved supplier, quality documentation",Quality and commercial views of a supplier are held against the same record.,SupplierMasterRegister,SupplierMaterialCertificates
Bucharest,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,SoftwareServer::SYS-024::OpenText ECM,OpenText ECM,,InformationSupplyChain::Third Party Onboarding and Payment Information Supply Chain,Third-Party-Onboarding-Payment,supplier documentation,"approved supplier, quality documentation",Quality and commercial views of a supplier are held against the same record.,SupplierMasterRegister,SupplierMaterialCertificates
Bucharest,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,SoftwareServer::SYS-024::OpenText ECM,OpenText ECM,,InformationSupplyChain::Physical Inventory Tracking Information Supply Chain,Physical-Inventory-Tracking,supplier documentation,"approved supplier, quality documentation",Quality and commercial views of a supplier are held against the same record.,SupplierMasterRegister,SupplierMaterialCertificates
Bucharest,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,SoftwareServer::SYS-004::LIMS LabWare Enterprise,LIMS LabWare Enterprise,,InformationSupplyChain::Third Party Onboarding and Payment Information Supply Chain,Third-Party-Onboarding-Payment,supplier documentation,"approved supplier, quality documentation",Quality and commercial views of a supplier are held against the same record.,SupplierMasterRegister,SupplierMaterialCertificates
Bucharest,SoftwareServer::SYS-001::SAP ERP S/4HANA,SAP ERP S/4HANA,SoftwareServer::SYS-004::LIMS LabWare Enterprise,LIMS LabWare Enterprise,,InformationSupplyChain::Physical Inventory Tracking Information Supply Chain,Physical-Inventory-Tracking,supplier documentation,"approved supplier, quality documentation",Quality and commercial views of a supplier are held against the same record.,SupplierMasterRegister,SupplierMaterialCertificates
Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),System::coco-expenses,Coco Expenses,,InformationSupplyChain::Employee Expense Payment Information Supply Chain,Employee-Expense-Payment,approver and cost centre,"worker, reporting line, spending authority","Who may approve is derived from the worker record rather than configured separately, so it changes when the person moves.",WorkerMasterRegister,ExpenseApprovalWorkflow
Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),System::coco-expenses,Coco Expenses,,InformationSupplyChain::New Employee Onboarding Information Supply Chain,New-Employee-Onboarding,approver and cost centre,"worker, reporting line, spending authority","Who may approve is derived from the worker record rather than configured separately, so it changes when the person moves.",WorkerMasterRegister,ExpenseApprovalWorkflow
Bucharest,SoftwareServer::SYS-013::Workday HCM,Workday HCM,SoftwareServer::SYS-012::SAP Concur,SAP Concur,,InformationSupplyChain::Employee Expense Payment Information Supply Chain,Employee-Expense-Payment,approver and cost centre,"worker, reporting line, spending authority","Who may approve is derived from the worker record rather than configured separately, so it changes when the person moves.",WorkerMasterRegister,ExpenseApprovalWorkflow
Bucharest,SoftwareServer::SYS-013::Workday HCM,Workday HCM,SoftwareServer::SYS-012::SAP Concur,SAP Concur,,InformationSupplyChain::New Employee Onboarding Information Supply Chain,New-Employee-Onboarding,approver and cost centre,"worker, reporting line, spending authority","Who may approve is derived from the worker record rather than configured separately, so it changes when the person moves.",WorkerMasterRegister,ExpenseApprovalWorkflow
Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),System::sec-admin,SecAdmin,,InformationSupplyChain::New Employee Onboarding Information Supply Chain,New-Employee-Onboarding,provision or revoke,"worker identity, role, effective date","Provisioning is driven from the worker record rather than from requests, because an access removal that depends on somebody asking does not happen.",WorkerMasterRegister,IdentityAndAccessProvisioning
Austin,SoftwareServer::AUS-SYS-019::SN-HCM-AU-20190301,Workday Human Capital Management,SoftwareServer::AUS-SYS-032::SN-AAD-AU-20200601,Microsoft Entra ID,INT-AUS-041,InformationSupplyChain::New Employee Onboarding Information Supply Chain,New-Employee-Onboarding,provision or revoke,"worker identity, role, effective date","Provisioning is driven from the worker record rather than from requests, because an access removal that depends on somebody asking does not happen.",WorkerMasterRegister,IdentityAndAccessProvisioning
Austin,SoftwareServer::AUS-SYS-019::SN-HCM-AU-20190301,Workday Human Capital Management,SoftwareServer::AUS-SYS-031::SN-AD-AU-20170901,Microsoft Active Directory,,InformationSupplyChain::New Employee Onboarding Information Supply Chain,New-Employee-Onboarding,provision or revoke,"worker identity, role, effective date","Provisioning is driven from the worker record rather than from requests, because an access removal that depends on somebody asking does not happen.",WorkerMasterRegister,IdentityAndAccessProvisioning
Bucharest,SoftwareServer::SYS-013::Workday HCM,Workday HCM,SoftwareServer::SYS-008::Active Directory,Active Directory,,InformationSupplyChain::New Employee Onboarding Information Supply Chain,New-Employee-Onboarding,provision or revoke,"worker identity, role, effective date","Provisioning is driven from the worker record rather than from requests, because an access removal that depends on somebody asking does not happen.",WorkerMasterRegister,IdentityAndAccessProvisioning
Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),System::NL payroll,Netherlands payroll,,InformationSupplyChain::New Employee Onboarding Information Supply Chain,New-Employee-Onboarding,payroll record,"worker, entity, contract terms",Payroll runs in several countries under several rule sets from one worker record.,WorkerMasterRegister,PayrollSystem
Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),System::UK payroll,UK payroll,,InformationSupplyChain::New Employee Onboarding Information Supply Chain,New-Employee-Onboarding,payroll record,"worker, entity, contract terms",Payroll runs in several countries under several rule sets from one worker record.,WorkerMasterRegister,PayrollSystem
Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),System::CA payroll,Canadian payroll,,InformationSupplyChain::New Employee Onboarding Information Supply Chain,New-Employee-Onboarding,payroll record,"worker, entity, contract terms",Payroll runs in several countries under several rule sets from one worker record.,WorkerMasterRegister,PayrollSystem
Austin,SoftwareServer::AUS-SYS-019::SN-HCM-AU-20190301,Workday Human Capital Management,SoftwareServer::AUS-SYS-021::SN-TNA-AU-20190305,UKG Dimensions,INT-AUS-039,InformationSupplyChain::New Employee Onboarding Information Supply Chain,New-Employee-Onboarding,payroll record,"worker, entity, contract terms",Payroll runs in several countries under several rule sets from one worker record.,WorkerMasterRegister,PayrollSystem
Bucharest,SoftwareServer::SYS-013::Workday HCM,Workday HCM,SoftwareServer::SYS-023::Kronos Workforce,Kronos Workforce,INT-024,InformationSupplyChain::New Employee Onboarding Information Supply Chain,New-Employee-Onboarding,payroll record,"worker, entity, contract terms",Payroll runs in several countries under several rule sets from one worker record.,WorkerMasterRegister,PayrollSystem
Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),System::cocopages,CocoPages,,InformationSupplyChain::New Employee Onboarding Information Supply Chain,New-Employee-Onboarding,directory entry,"name, role, location, reporting line",The directory is downstream of the worker record and is frequently where a stale joiner or leaver event first becomes visible to everybody.,WorkerMasterRegister,CorporateDirectory
Austin,SoftwareServer::AUS-SYS-019::SN-HCM-AU-20190301,Workday Human Capital Management,SoftwareServer::AUS-SYS-033::SN-M365-AU-20200601,Microsoft 365,,InformationSupplyChain::New Employee Onboarding Information Supply Chain,New-Employee-Onboarding,directory entry,"name, role, location, reporting line",The directory is downstream of the worker record and is frequently where a stale joiner or leaver event first becomes visible to everybody.,WorkerMasterRegister,CorporateDirectory
Bucharest,SoftwareServer::SYS-013::Workday HCM,Workday HCM,SoftwareServer::SYS-007::Microsoft 365,Microsoft 365,INT-025,InformationSupplyChain::New Employee Onboarding Information Supply Chain,New-Employee-Onboarding,directory entry,"name, role, location, reporting line",The directory is downstream of the worker record and is frequently where a stale joiner or leaver event first becomes visible to everybody.,WorkerMasterRegister,CorporateDirectory
Austin,SoftwareServer::AUS-SYS-019::SN-HCM-AU-20190301,Workday Human Capital Management,SoftwareServer::AUS-SYS-020::SN-LMS-AU-20200110,Cornerstone OnDemand LMS,INT-AUS-040,InformationSupplyChain::New Employee Onboarding Information Supply Chain,New-Employee-Onboarding,new worker record,"worker identity, role, start date","Qualification and training records are held against the record created here, so a delay in onboarding delays every qualification that follows it.",WorkerMasterRegister,CompetencyRegister
Austin,SoftwareServer::AUS-SYS-019::SN-HCM-AU-20190301,Workday Human Capital Management,SoftwareServer::AUS-SYS-020::SN-LMS-AU-20200110,Cornerstone OnDemand LMS,INT-AUS-040,InformationSupplyChain::Workforce Competency and Qualification Information Supply Chain,Workforce-Competency-Qualification,new worker record,"worker identity, role, start date","Qualification and training records are held against the record created here, so a delay in onboarding delays every qualification that follows it.",WorkerMasterRegister,CompetencyRegister
Austin,SoftwareServer::AUS-SYS-020::SN-LMS-AU-20200110,Cornerstone OnDemand LMS,SoftwareServer::AUS-SYS-026::SN-EBR-AU-20200301,Veeva Vault EBR,,InformationSupplyChain::Workforce Competency and Qualification Information Supply Chain,Workforce-Competency-Qualification,signature authority,"worker pseudonym, qualifications, currency at time of signature","The batch record's signatures are only meaningful with this evidence behind them, and it must be current at the moment of signing.",CompetencyRegister,ElectronicBatchRecord
Austin,SoftwareServer::AUS-SYS-020::SN-LMS-AU-20200110,Cornerstone OnDemand LMS,SoftwareServer::AUS-SYS-026::SN-EBR-AU-20200301,Veeva Vault EBR,,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,signature authority,"worker pseudonym, qualifications, currency at time of signature","The batch record's signatures are only meaningful with this evidence behind them, and it must be current at the moment of signing.",CompetencyRegister,ElectronicBatchRecord
Austin,SoftwareServer::AUS-SYS-024::SN-LIM-AU-20190820,LabWare Enterprise LIMS,SoftwareServer::AUS-SYS-025::SN-QMS-AU-20190901,Veeva Vault QMS,INT-AUS-063,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,raise deviation,out-of-specification and out-of-trend results,"LIMS out-of-specification result raises a deviation, which gates certification.",,
Bucharest,SoftwareServer::SYS-004::LIMS LabWare Enterprise,LIMS LabWare Enterprise,SoftwareServer::SYS-002::Veeva Vault QMS,Veeva Vault QMS,INT-008,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,raise deviation,out-of-specification and out-of-trend results,"LIMS out-of-specification result raises a deviation, which gates certification.",,
Austin,SoftwareServer::AUS-SYS-029::SN-CMM-AU-20190401,IBM Maximo CMMS,SoftwareServer::AUS-SYS-025::SN-QMS-AU-20190901,Veeva Vault QMS,INT-AUS-068,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,qualification status,calibration overdue alerts and out-of-tolerance results,Overdue calibration raises a quality event: the equipment qualification gate enforcing itself.,,
Bucharest,SoftwareServer::SYS-016::Maximo Asset Management,Maximo Asset Management,SoftwareServer::SYS-002::Veeva Vault QMS,Veeva Vault QMS,INT-042,InformationSupplyChain::Batch Manufacturing and Release Information Supply Chain,Batch-Manufacturing-Release,qualification status,calibration overdue alerts and out-of-tolerance results,Overdue calibration raises a quality event: the equipment qualification gate enforcing itself.,,
