component_qualified_name,component_name,business_system_group,estate,system_qualified_name,system_name,confidence,note
CocoPharma::SolutionComponent::ProductComplaintIntake,Product Complaint Intake,Quality and Regulatory Systems,Bucharest,SoftwareServer::SYS-006::Veeva CRM,Veeva CRM,Possible,
CocoPharma::SolutionComponent::PharmacovigilanceCaseManagement,Pharmacovigilance Case Management,Quality and Regulatory Systems,Austin,SoftwareServer::AUS-SYS-025::SN-QMS-AU-20190901,Veeva Vault QMS,Possible,"Receives adverse event reports; a QMS, not a pharmacovigilance system"
CocoPharma::SolutionComponent::PharmacovigilanceCaseManagement,Pharmacovigilance Case Management,Quality and Regulatory Systems,Bucharest,SoftwareServer::SYS-002::Veeva Vault QMS,Veeva Vault QMS,Possible,
CocoPharma::SolutionComponent::SafetySignalDetection,Safety Signal Detection,Quality and Regulatory Systems,Austin,SoftwareServer::AUS-SYS-006::SPARK-AUS-001,Apache Spark,Possible,Anomaly scores on the data lake
CocoPharma::SolutionComponent::RegulatorySafetySubmission,Regulatory Safety Submission,Quality and Regulatory Systems,Austin,SoftwareServer::AUS-SYS-030::SN-TRK-AU-20210801,Trackwise Digital,Possible,Commitments and field actions
CocoPharma::SolutionComponent::RegulatorySafetySubmission,Regulatory Safety Submission,Quality and Regulatory Systems,Bucharest,SoftwareServer::SYS-021::Veeva Vault RIM,Veeva Vault RIM,Probable,Submission planning and health authority tracking
CocoPharma::SolutionComponent::LaboratoryInformationManagement,Laboratory Information Management System,Quality and Regulatory Systems,Austin,SoftwareServer::AUS-SYS-024::SN-LIM-AU-20190820,LabWare Enterprise LIMS,Strong,
CocoPharma::SolutionComponent::LaboratoryInformationManagement,Laboratory Information Management System,Quality and Regulatory Systems,Austin,SoftwareServer::AUS-SYS-027::SN-CHR-AU-20180615,Waters Empower 3,Strong,Chromatography data
CocoPharma::SolutionComponent::LaboratoryInformationManagement,Laboratory Information Management System,Quality and Regulatory Systems,Bucharest,SoftwareServer::SYS-004::LIMS LabWare Enterprise,LIMS LabWare Enterprise,Strong,
CocoPharma::SolutionComponent::LaboratoryInformationManagement,Laboratory Information Management System,Quality and Regulatory Systems,Bucharest,SoftwareServer::SYS-027::Empower Chromatography,Empower Chromatography,Strong,Chromatography data
CocoPharma::SolutionComponent::DeviationAndCAPAManagement,Deviation and CAPA Management,Quality and Regulatory Systems,Austin,SoftwareServer::AUS-SYS-025::SN-QMS-AU-20190901,Veeva Vault QMS,Strong,
CocoPharma::SolutionComponent::DeviationAndCAPAManagement,Deviation and CAPA Management,Quality and Regulatory Systems,Bucharest,SoftwareServer::SYS-002::Veeva Vault QMS,Veeva Vault QMS,Strong,
CocoPharma::SolutionComponent::DeviationAndCAPAManagement,Deviation and CAPA Management,Quality and Regulatory Systems,Bucharest,SoftwareServer::SYS-005::Trackwise Digital,Trackwise Digital,Strong,Deviation management
CocoPharma::SolutionComponent::BatchReviewAndCertification,Batch Review and QP Certification,Quality and Regulatory Systems,Coco core,System::MFCTRL9482,Austin Manufacturing Control System,Possible,Release status recorded in the control system
CocoPharma::SolutionComponent::BatchReviewAndCertification,Batch Review and QP Certification,Quality and Regulatory Systems,Coco core,System::ed-mfg-control,Edmonton Manufacturing Control System,Possible,
CocoPharma::SolutionComponent::BatchReviewAndCertification,Batch Review and QP Certification,Quality and Regulatory Systems,Coco core,System::winch-mfg-control,Winchester Manufacturing Control System,Possible,
CocoPharma::SolutionComponent::BatchReviewAndCertification,Batch Review and QP Certification,Quality and Regulatory Systems,Austin,SoftwareServer::AUS-SYS-026::SN-EBR-AU-20200301,Veeva Vault EBR,Strong,Batch review and release workflow
CocoPharma::SolutionComponent::BatchReviewAndCertification,Batch Review and QP Certification,Quality and Regulatory Systems,Austin,SoftwareServer::AUS-SYS-025::SN-QMS-AU-20190901,Veeva Vault QMS,Strong,QP release approvals
CocoPharma::SolutionComponent::BatchReviewAndCertification,Batch Review and QP Certification,Quality and Regulatory Systems,Bucharest,SoftwareServer::SYS-003::Siemens Opcenter MES,Siemens Opcenter MES,Probable,
CocoPharma::SolutionComponent::BatchReviewAndCertification,Batch Review and QP Certification,Quality and Regulatory Systems,Bucharest,SoftwareServer::SYS-002::Veeva Vault QMS,Veeva Vault QMS,Probable,
CocoPharma::SolutionComponent::ExcursionAssessment,Temperature Excursion Assessment,Quality and Regulatory Systems,Austin,SoftwareServer::AUS-SYS-025::SN-QMS-AU-20190901,Veeva Vault QMS,Possible,As a deviation
CocoPharma::SolutionComponent::ExcursionAssessment,Temperature Excursion Assessment,Quality and Regulatory Systems,Bucharest,SoftwareServer::SYS-002::Veeva Vault QMS,Veeva Vault QMS,Possible,
CocoPharma::SolutionComponent::ExcursionAssessment,Temperature Excursion Assessment,Quality and Regulatory Systems,Bucharest,SoftwareServer::SYS-022::Proact Cold Chain Monitor,Proact Cold Chain Monitor,Possible,Source of excursions
CocoPharma::SolutionComponent::MarketAuthorisationRegister,Market Authorisation Register,Quality and Regulatory Systems,Coco core,System::cocoProducts,Coco Product Management,Possible,Product offerings by market
CocoPharma::SolutionComponent::MarketAuthorisationRegister,Market Authorisation Register,Quality and Regulatory Systems,Austin,SoftwareServer::AUS-SYS-030::SN-TRK-AU-20210801,Trackwise Digital,Possible,
CocoPharma::SolutionComponent::MarketAuthorisationRegister,Market Authorisation Register,Quality and Regulatory Systems,Bucharest,SoftwareServer::SYS-021::Veeva Vault RIM,Veeva Vault RIM,Strong,Dossier authoring and health authority tracking
CocoPharma::SolutionComponent::ExposureBandingRegister,Exposure Banding Register,Quality and Regulatory Systems,Coco core,System::coco-haz-mat,Coco HazMat Inventory,Probable,
CocoPharma::SolutionComponent::ExposureBandingRegister,Exposure Banding Register,Quality and Regulatory Systems,Coco core,System::austin-haz-mat,Austin HazMat Inventory,Probable,
CocoPharma::SolutionComponent::ExposureBandingRegister,Exposure Banding Register,Quality and Regulatory Systems,Austin,SoftwareServer::AUS-SYS-025::SN-QMS-AU-20190901,Veeva Vault QMS,Possible,No EHS system
CocoPharma::SolutionComponent::ExposureBandingRegister,Exposure Banding Register,Quality and Regulatory Systems,Bucharest,SoftwareServer::SYS-002::Veeva Vault QMS,Veeva Vault QMS,Possible,
CocoPharma::SolutionComponent::ExposureMonitoringCapture,Exposure Monitoring Capture,Quality and Regulatory Systems,Coco core,System::coco-haz-mat,Coco HazMat Inventory,Possible,"Records what is held, not exposure"
CocoPharma::SolutionComponent::ExposureMonitoringCapture,Exposure Monitoring Capture,Quality and Regulatory Systems,Austin,SoftwareServer::AUS-SYS-028::SN-ENV-AU-20200601,Honeywell Building Manager,Possible,"Environmental, not personal"
CocoPharma::SolutionComponent::ExposureMonitoringCapture,Exposure Monitoring Capture,Quality and Regulatory Systems,Bucharest,SoftwareServer::SYS-022::Proact Cold Chain Monitor,Proact Cold Chain Monitor,Possible,
CocoPharma::SolutionComponent::IncidentAndNearMissReporting,Incident and Near Miss Reporting,Quality and Regulatory Systems,Austin,SoftwareServer::AUS-SYS-025::SN-QMS-AU-20190901,Veeva Vault QMS,Possible,
CocoPharma::SolutionComponent::IncidentAndNearMissReporting,Incident and Near Miss Reporting,Quality and Regulatory Systems,Austin,SoftwareServer::AUS-SYS-034::SN-ITSM-AU-20210301,ServiceNow ITSM,Possible,
CocoPharma::SolutionComponent::IncidentAndNearMissReporting,Incident and Near Miss Reporting,Quality and Regulatory Systems,Bucharest,SoftwareServer::SYS-002::Veeva Vault QMS,Veeva Vault QMS,Possible,
CocoPharma::SolutionComponent::WorkerMasterRegister,Worker Master Register,People Systems,Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),Strong,
CocoPharma::SolutionComponent::WorkerMasterRegister,Worker Master Register,People Systems,Austin,SoftwareServer::AUS-SYS-019::SN-HCM-AU-20190301,Workday Human Capital Management,Strong,
CocoPharma::SolutionComponent::WorkerMasterRegister,Worker Master Register,People Systems,Bucharest,SoftwareServer::SYS-013::Workday HCM,Workday HCM,Strong,
CocoPharma::SolutionComponent::JoinerMoverLeaverWorkflow,Joiner Mover Leaver Workflow,People Systems,Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),Strong,Hiring and all reasons for termination
CocoPharma::SolutionComponent::JoinerMoverLeaverWorkflow,Joiner Mover Leaver Workflow,People Systems,Austin,SoftwareServer::AUS-SYS-019::SN-HCM-AU-20190301,Workday Human Capital Management,Strong,JML events to Entra ID
CocoPharma::SolutionComponent::JoinerMoverLeaverWorkflow,Joiner Mover Leaver Workflow,People Systems,Bucharest,SoftwareServer::SYS-013::Workday HCM,Workday HCM,Strong,JML events to Microsoft 365
CocoPharma::SolutionComponent::IdentityAndAccessProvisioning,Identity and Access Provisioning,People Systems,Coco core,System::sec-admin,SecAdmin,Strong,All access grants
CocoPharma::SolutionComponent::IdentityAndAccessProvisioning,Identity and Access Provisioning,People Systems,Austin,SoftwareServer::AUS-SYS-032::SN-AAD-AU-20200601,Microsoft Entra ID,Strong,
CocoPharma::SolutionComponent::IdentityAndAccessProvisioning,Identity and Access Provisioning,People Systems,Austin,SoftwareServer::AUS-SYS-031::SN-AD-AU-20170901,Microsoft Active Directory,Strong,
CocoPharma::SolutionComponent::IdentityAndAccessProvisioning,Identity and Access Provisioning,People Systems,Bucharest,SoftwareServer::SYS-008::Active Directory,Active Directory,Strong,
CocoPharma::SolutionComponent::PayrollSystem,Payroll System,People Systems,Coco core,System::UK payroll,UK payroll,Strong,
CocoPharma::SolutionComponent::PayrollSystem,Payroll System,People Systems,Coco core,System::NL payroll,Netherlands payroll,Strong,
CocoPharma::SolutionComponent::PayrollSystem,Payroll System,People Systems,Coco core,System::CA payroll,Canadian payroll,Strong,
CocoPharma::SolutionComponent::PayrollSystem,Payroll System,People Systems,Austin,SoftwareServer::AUS-SYS-019::SN-HCM-AU-20190301,Workday Human Capital Management,Strong,The US payroll
CocoPharma::SolutionComponent::PayrollSystem,Payroll System,People Systems,Austin,SoftwareServer::AUS-SYS-021::SN-TNA-AU-20190305,UKG Dimensions,Strong,Time and attendance feeding payroll
CocoPharma::SolutionComponent::PayrollSystem,Payroll System,People Systems,Bucharest,SoftwareServer::SYS-013::Workday HCM,Workday HCM,Strong,The Romanian payroll
CocoPharma::SolutionComponent::PayrollSystem,Payroll System,People Systems,Bucharest,SoftwareServer::SYS-023::Kronos Workforce,Kronos Workforce,Strong,Time and attendance feeding payroll
CocoPharma::SolutionComponent::CorporateDirectory,Corporate Directory,People Systems,Coco core,System::cocopages,CocoPages,Strong,
CocoPharma::SolutionComponent::CorporateDirectory,Corporate Directory,People Systems,Austin,SoftwareServer::AUS-SYS-031::SN-AD-AU-20170901,Microsoft Active Directory,Probable,
CocoPharma::SolutionComponent::CorporateDirectory,Corporate Directory,People Systems,Austin,SoftwareServer::AUS-SYS-033::SN-M365-AU-20200601,Microsoft 365,Probable,
CocoPharma::SolutionComponent::CorporateDirectory,Corporate Directory,People Systems,Bucharest,SoftwareServer::SYS-007::Microsoft 365,Microsoft 365,Probable,
CocoPharma::SolutionComponent::CorporateDirectory,Corporate Directory,People Systems,Bucharest,SoftwareServer::SYS-008::Active Directory,Active Directory,Probable,
CocoPharma::SolutionComponent::CompetencyFrameworkRegister,Competency Framework Register,People Systems,Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),Probable,Skills management
CocoPharma::SolutionComponent::CompetencyFrameworkRegister,Competency Framework Register,People Systems,Austin,SoftwareServer::AUS-SYS-020::SN-LMS-AU-20200110,Cornerstone OnDemand LMS,Strong,Role-based curricula
CocoPharma::SolutionComponent::CompetencyFrameworkRegister,Competency Framework Register,People Systems,Bucharest,SoftwareServer::SYS-013::Workday HCM,Workday HCM,Possible,
CocoPharma::SolutionComponent::LearningManagement,Learning Management System,People Systems,Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),Possible,Skills management is not training delivery
CocoPharma::SolutionComponent::LearningManagement,Learning Management System,People Systems,Austin,SoftwareServer::AUS-SYS-020::SN-LMS-AU-20200110,Cornerstone OnDemand LMS,Strong,GMP training compliance
CocoPharma::SolutionComponent::LearningManagement,Learning Management System,People Systems,Bucharest,SoftwareServer::SYS-013::Workday HCM,Workday HCM,Possible,
CocoPharma::SolutionComponent::CompetencyRegister,Qualification and Competency Register,People Systems,Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),Probable,Skills management
CocoPharma::SolutionComponent::CompetencyRegister,Qualification and Competency Register,People Systems,Austin,SoftwareServer::AUS-SYS-020::SN-LMS-AU-20200110,Cornerstone OnDemand LMS,Strong,Training record management
CocoPharma::SolutionComponent::CompetencyRegister,Qualification and Competency Register,People Systems,Bucharest,SoftwareServer::SYS-013::Workday HCM,Workday HCM,Possible,
CocoPharma::SolutionComponent::QualificationCurrencyChecker,Qualification Currency Checker,People Systems,Austin,SoftwareServer::AUS-SYS-020::SN-LMS-AU-20200110,Cornerstone OnDemand LMS,Possible,
CocoPharma::SolutionComponent::HealthSurveillanceRecords,Health Surveillance Records,People Systems,Coco core,System::coco-hrim,Human Resources Information Manager (HRIM),Possible,"Technically possible, and wrong: the record serves the worker"
CocoPharma::SolutionComponent::LongTermHealthArchive,Long Term Health Record Archive,People Systems,Bucharest,SoftwareServer::SYS-024::OpenText ECM,OpenText ECM,Possible,"Built for long-term GMP retention; right capability, different content"
CocoPharma::SolutionComponent::RightsRequestIntake,Rights Request Intake,Privacy Operations Systems,Austin,SoftwareServer::AUS-SYS-018::SN-CSS-AU-20220601,ServiceNow Customer Service Management,Possible,
CocoPharma::SolutionComponent::PersonalDataDiscovery,Personal Data Discovery,Privacy Operations Systems,Austin,SoftwareServer::AUS-SYS-039::SN-DLP-AU-20220601,Microsoft Purview DLP,Probable,Data classification of sensitive manufacturing and patient data
CocoPharma::SolutionComponent::RetentionScheduleService,Retention Schedule Service,Privacy Operations Systems,Bucharest,SoftwareServer::SYS-024::OpenText ECM,OpenText ECM,Possible,
